datetime_nano,price,direction
2022-01-27 13:23:00,6657.4,buy
2022-01-27 13:26:00,6640.2,sell
2022-01-27 13:31:00,6663.4,buy
2022-01-27 13:38:00,6651.8,sell
2022-01-27 13:46:00,6650.2,buy
2022-01-27 13:59:00,6676.2,sell
2022-01-27 14:29:00,6648.8,buy
2022-01-27 14:34:00,6619.8,sell
2022-01-27 14:42:00,6633.2,buy
2022-01-27 14:46:00,6611.4,sell
2022-01-27 14:54:00,6618.0,buy
2022-01-28 09:38:00,6636.2,sell
2022-01-28 10:23:00,6517.6,buy
2022-01-28 10:35:00,6540.0,sell
2022-01-28 10:41:00,6543.8,buy
2022-01-28 11:05:00,6612.6,sell
2022-01-28 11:12:00,6642.4,buy
2022-01-28 11:17:00,6622.0,sell
2022-01-28 11:23:00,6627.4,buy
2022-01-28 11:25:00,6626.2,sell
2022-01-28 13:03:00,6632.8,buy
2022-01-28 13:10:00,6627.8,sell
2022-01-28 13:20:00,6622.6,buy
2022-01-28 13:39:00,6635.8,sell
2022-01-28 13:55:00,6630.2,buy
2022-01-28 14:01:00,6621.6,sell
2022-01-28 14:20:00,6598.0,buy
2022-01-28 14:31:00,6601.2,sell
2022-01-28 14:51:00,6570.0,buy
2022-01-28 14:56:00,6567.2,sell
2022-02-07 09:30:00,6673.0,buy
2022-02-07 09:45:00,6683.2,sell
2022-02-07 09:49:00,6678.8,buy
2022-02-07 09:51:00,6670.8,sell
2022-02-07 09:57:00,6673.8,buy
2022-02-07 10:08:00,6680.6,sell
2022-02-07 10:17:00,6685.4,buy
2022-02-07 10:23:00,6681.6,sell
2022-02-07 10:27:00,6680.6,buy
2022-02-07 10:30:00,6674.2,sell
2022-02-07 10:45:00,6654.4,buy
2022-02-07 11:03:00,6664.6,sell
2022-02-07 11:05:00,6673.4,buy
2022-02-07 11:06:00,6668.8,sell
2022-02-07 11:07:00,6668.8,buy
2022-02-07 11:10:00,6663.0,sell
2022-02-07 11:24:00,6659.4,buy
2022-02-07 13:17:00,6682.0,sell
2022-02-07 13:36:00,6674.2,buy
2022-02-07 13:46:00,6672.6,sell
2022-02-07 13:58:00,6669.0,buy
2022-02-07 14:03:00,6664.6,sell
2022-02-07 14:05:00,6673.4,buy
2022-02-07 14:11:00,6667.8,sell
2022-02-07 14:27:00,6659.2,buy
2022-02-07 14:29:00,6655.4,sell
2022-02-07 14:46:00,6646.4,buy
2022-02-08 09:33:00,6658.0,sell
2022-02-08 09:35:00,6663.8,buy
2022-02-08 09:39:00,6653.4,sell
2022-02-08 09:47:00,6658.8,buy
2022-02-08 10:08:00,6700.0,sell
2022-02-08 10:24:00,6677.6,buy
2022-02-08 10:34:00,6681.0,sell
2022-02-08 10:54:00,6649.8,buy
2022-02-08 11:01:00,6641.0,sell
2022-02-08 11:09:00,6634.8,buy
2022-02-08 11:11:00,6624.8,sell
2022-02-08 11:25:00,6609.0,buy
2022-02-08 13:03:00,6606.4,sell
2022-02-08 13:10:00,6627.0,buy
2022-02-08 13:36:00,6663.2,sell
2022-02-08 13:42:00,6664.4,buy
2022-02-08 13:58:00,6687.0,sell
2022-02-08 14:07:00,6683.4,buy
2022-02-08 14:22:00,6702.2,sell
2022-02-08 14:27:00,6716.6,buy
2022-02-08 14:53:00,6740.8,sell
2022-02-08 14:57:00,6745.6,buy
2022-02-09 09:48:00,6760.2,sell
2022-02-09 09:59:00,6742.2,buy
2022-02-09 10:12:00,6757.8,sell
2022-02-09 10:13:00,6758.6,buy
2022-02-09 10:33:00,6795.6,sell
2022-02-09 10:39:00,6797.0,buy
2022-02-09 10:43:00,6793.8,sell
2022-02-09 10:48:00,6796.6,buy
2022-02-09 10:49:00,6787.8,sell
2022-02-09 10:55:00,6796.6,buy
2022-02-09 11:00:00,6793.4,sell
2022-02-09 11:03:00,6799.0,buy
2022-02-09 11:27:00,6816.2,sell
2022-02-09 13:03:00,6820.6,buy
2022-02-09 13:22:00,6831.8,sell
2022-02-09 13:27:00,6833.2,buy
2022-02-09 13:28:00,6831.2,sell
2022-02-09 13:42:00,6820.8,buy
2022-02-09 13:56:00,6820.4,sell
2022-02-09 14:02:00,6827.0,buy
2022-02-09 14:31:00,6841.8,sell
2022-02-09 14:36:00,6846.4,buy
2022-02-09 14:42:00,6842.6,sell
2022-02-09 14:59:00,6841.8,buy
2022-02-10 09:48:00,6847.4,sell
2022-02-10 09:59:00,6842.0,buy
2022-02-10 10:09:00,6836.2,sell
2022-02-10 10:22:00,6832.2,buy
2022-02-10 10:28:00,6823.2,sell
2022-02-10 10:36:00,6825.6,buy
2022-02-10 10:52:00,6846.8,sell
2022-02-10 11:09:00,6836.8,buy
2022-02-10 11:13:00,6832.0,sell
2022-02-10 11:20:00,6832.6,buy
2022-02-10 11:22:00,6832.6,sell
2022-02-10 11:28:00,6836.2,buy
2022-02-10 13:01:00,6829.4,sell
2022-02-10 13:21:00,6818.6,buy
2022-02-10 13:26:00,6814.2,sell
2022-02-10 13:39:00,6805.8,buy
2022-02-10 13:49:00,6808.2,sell
2022-02-10 13:57:00,6819.0,buy
2022-02-10 14:10:00,6822.8,sell
2022-02-10 14:23:00,6826.4,buy
2022-02-10 14:36:00,6838.2,sell
2022-02-10 14:49:00,6835.8,buy
2022-02-10 14:57:00,6834.8,sell
2022-02-11 09:37:00,6839.8,buy
2022-02-11 09:44:00,6824.0,sell
2022-02-11 09:53:00,6828.6,buy
2022-02-11 10:01:00,6819.2,sell
2022-02-11 10:27:00,6794.8,buy
2022-02-11 10:45:00,6813.0,sell
2022-02-11 10:48:00,6815.8,buy
2022-02-11 11:03:00,6827.8,sell
2022-02-11 11:20:00,6816.0,buy
2022-02-11 11:22:00,6812.4,sell
2022-02-11 11:28:00,6817.4,buy
2022-02-11 13:02:00,6808.4,sell
2022-02-11 13:14:00,6807.4,buy
2022-02-11 13:15:00,6800.8,sell
2022-02-11 13:17:00,6809.4,buy
2022-02-11 13:26:00,6803.2,sell
2022-02-11 13:49:00,6788.2,buy
2022-02-11 13:54:00,6784.6,sell
2022-02-11 14:12:00,6767.0,buy
2022-02-11 14:18:00,6760.6,sell
2022-02-11 14:22:00,6765.2,buy
2022-02-11 14:24:00,6756.0,sell
2022-02-11 14:31:00,6768.0,buy
2022-02-11 14:36:00,6756.6,sell
2022-02-11 14:53:00,6754.6,buy
2022-02-14 09:30:00,6720.4,sell
2022-02-14 09:37:00,6729.6,buy
2022-02-14 09:40:00,6732.2,sell
2022-02-14 09:49:00,6751.4,buy
2022-02-14 10:04:00,6767.6,sell
2022-02-14 10:10:00,6769.8,buy
2022-02-14 10:13:00,6764.4,sell
2022-02-14 10:26:00,6755.8,buy
2022-02-14 10:30:00,6745.6,sell
2022-02-14 10:42:00,6731.0,buy
2022-02-14 10:48:00,6728.6,sell
2022-02-14 10:55:00,6740.8,buy
2022-02-14 11:00:00,6723.6,sell
2022-02-14 11:06:00,6728.2,buy
2022-02-14 11:09:00,6720.4,sell
2022-02-14 13:05:00,6706.6,buy
2022-02-14 13:08:00,6705.6,sell
2022-02-14 13:19:00,6710.8,buy
2022-02-14 13:32:00,6708.8,sell
2022-02-14 13:46:00,6715.6,buy
2022-02-14 13:51:00,6705.2,sell
2022-02-14 13:56:00,6705.0,buy
2022-02-14 13:58:00,6701.0,sell
